TS,HAx,HAy,HAz,BAx,BAy,BAz,Gx,Gy,Gz,f0,f1,f2,f3,f4,f5,f6,f7,V_US,V_LC,roll,pitch,sstat
11:19:29:374,-0.02697754,0.03161621,0.9973145,-0.1806641,-0.01269531,1.177734,1.338348,6.317902,-5.85434,176.6706,89.97765,1365.602,1514.219,77.59294,0,0,164.2859,14,26.55519,1.772585,-1.505812,0
11:19:29:406,-0.06298828,0.04638672,0.96875,-0.1972656,0.03222656,1.155273,0.1345825,6.983337,-0.1196289,176.6706,89.97765,1365.602,1526.604,77.59294,0,0,164.2859,14,26.917,2.65198,-3.659446,0
11:19:29:438,-0.1484375,-0.0871582,0.9523926,-0.1025391,0.04296875,1.117188,-0.4037476,8.097382,1.734619,176.6706,89.97765,1365.602,1538.988,77.59294,0,0,151.9012,14,27.63463,-4.720553,-8.491649,0
11:19:29:471,-0.1534424,-0.1893311,0.9907227,-0.1425781,0.03027344,1.155273,1.629944,8.553467,6.430054,164.2859,89.97765,1365.602,1563.758,77.59294,0,0,151.9012,16,28.34461,-9.470612,-7.466106,0
11:19:29:503,-0.1431885,-0.2160645,1.00708,-0.1914063,0.006835938,1.186523,4.590759,8.740387,5.099182,164.2859,89.97765,1353.218,1588.527,65.20824,0,0,164.2859,16,29.04736,-10.57432,-6.638638,0
11:19:29:534,-0.1036377,-0.1494141,0.973999,-0.1953125,0.04296875,1.166992,6.101074,9.944153,2.235565,164.2859,89.97765,1353.218,1588.527,77.59294,0,0,151.9012,14,29.74331,-8.081209,-5.391612,0
11:19:29:566,-0.1263428,-0.1872559,0.996582,-0.1054688,-0.07519531,1.163086,8.231964,10.14603,0.9869385,164.2859,89.97765,1353.218,1625.681,77.59294,0,0,151.9012,14,30.08886,-9.495654,-6.109167,0
11:19:29:598,-0.08837891,-0.03479004,1.044312,-0.2392578,0.01855469,1.177734,10.08621,10.87875,6.06369,164.2859,89.97765,1328.448,1638.066,77.59294,0,0,151.9012,12,30.43287,-1.690248,-4.490378,0
11:19:29:630,-0.1119385,-0.1124268,0.9610596,-0.1523438,-0.02539063,1.110352,10.29556,12.91245,14.71436,164.2859,89.97765,1303.679,1650.451,77.59294,0,0,151.9012,8,30.43287,-6.196031,-6.166444,0
11:19:29:662,-0.2126465,-0.07299805,1.03064,-0.2158203,-0.00390625,1.172852,11.16287,12.04514,14.81155,164.2859,89.97765,1278.909,1650.451,77.59294,0,0,151.9012,8,30.43287,-3.277147,-10.60958,0
11:19:29:695,-0.3205566,0.04272461,0.8585205,-0.1337891,-0.07128906,1.155273,10.61707,12.62833,7.82074,164.2859,89.97765,1229.371,1638.066,65.20824,0,0,151.9012,74,30.43287,2.313329,-22.34682,0
11:19:29:727,-0.392334,-0.08166504,0.9523926,-0.1806641,-0.0703125,1.151367,10.75165,9.966583,-5.390778,164.2859,89.97765,1192.217,1625.681,77.59294,0,0,164.2859,510,30.43287,-3.59625,-21.64374,0
11:19:29:759,-0.3820801,-0.07128906,0.9421387,-0.2587891,-0.01464844,1.15918,11.82083,7.439423,-9.884338,164.2859,89.97765,1167.447,1625.681,77.59294,0,0,164.2859,510,30.43287,-3.213563,-21.72484,0
11:19:29:790,-0.4229736,0.0546875,0.9700928,-0.2744141,0.04003906,1.143555,13.54797,2.489777,-46.28891,164.2859,89.97765,1142.678,1600.912,77.59294,0,0,164.2859,18,29.74331,2.295867,-23.0144,0
