TS,HAx,HAy,HAz,BAx,BAy,BAz,Gx,Gy,Gz,f0,f1,f2,f3,f4,f5,f6,f7,V_US,V_LC,roll,pitch,sstat
10:51:49:334,-0.05810547,-0.08898926,0.9931641,-0.1494141,0.1201172,1.148438,0.9794617,5.495453,7.30484,164.2859,89.97765,684.4435,808.2906,28.05412,0,0,127.1318,178,7.328408,-4.869814,-3.092872,0
10:51:49:366,-0.1004639,-0.1574707,0.9748535,-0.1533203,0.109375,1.139648,2.063599,5.375824,5.8992,164.2859,89.97765,684.4435,808.2906,28.05412,0,0,127.1318,174,6.300419,-8.522779,-5.181803,0
10:51:49:398,-0.05224609,-0.02539063,1.001099,-0.15625,0.1005859,1.143555,4.149628,4.80011,-5.68985,164.2859,89.97765,721.5977,820.6754,28.05412,0,0,127.1318,162,6.300419,-1.379394,-2.910604,0
10:51:49:431,-0.09606934,0.04907227,0.9766846,-0.1796875,0.1074219,1.133789,3.319702,5.547791,-1.510315,164.2859,89.97765,733.9824,820.6754,28.05412,0,0,127.1318,156,6.300419,2.675845,-5.471294,0
10:51:49:462,-0.05834961,0.03076172,0.949707,-0.1738281,0.109375,1.141602,1.517792,4.837494,1.532745,164.2859,89.97765,733.9824,820.6754,40.43883,0,0,127.1318,148,6.300419,1.834767,-3.579733,0
10:51:49:494,-0.03967285,0.02734375,1.005493,-0.1660156,0.1210938,1.141602,1.05423,5.256195,1.398163,164.2859,89.97765,733.9824,820.6754,40.43883,0,0,127.1318,146,6.300419,1.490762,-2.188048,0
10:51:49:527,-0.1038818,0.01721191,1.00061,-0.1630859,0.1123047,1.143555,0.1570129,6.280518,-3.476715,164.2859,89.97765,733.9824,820.6754,28.05412,0,0,127.1318,146,6.816659,0.8923063,-5.824121,0
10:51:49:558,-0.1938477,0.008789063,0.9814453,-0.1835938,0.1005859,1.135742,-0.8074951,4.650574,4.979553,164.2859,89.97765,746.3671,820.6754,40.43883,0,0,127.1318,146,6.816659,0.4352036,-11.27835,0
10:51:49:590,-0.2047119,-0.02307129,0.9598389,-0.1689453,0.1210938,1.130859,-1.009369,2.863617,5.203857,164.2859,89.97765,746.3671,820.6754,40.43883,0,0,127.1318,146,8.338598,-1.173801,-12.23093,0
10:51:49:622,-0.1835938,-0.03015137,0.991333,-0.1708984,0.1083984,1.138672,-0.4859924,1.338348,6.003876,164.2859,89.97765,758.7518,820.6754,28.05412,0,0,127.1318,146,8.837154,-1.480845,-10.27371,0
10:51:49:654,-0.08081055,-0.06738281,0.9864502,-0.15625,0.0859375,1.155273,-0.4785156,-0.3588867,-7.372131,164.2859,89.97765,795.9059,808.2906,28.05412,0,0,127.1318,186,8.837154,-3.658338,-4.441109,0
10:51:49:686,-0.06262207,-0.06738281,0.9771729,-0.1572266,0.1025391,1.149414,0.2841187,-0.2392578,-5.600128,164.2859,89.97765,808.2906,808.2906,28.05412,0,0,139.5165,232,8.837154,-3.788859,-3.505506,0
10:51:49:718,-0.02148438,-0.06396484,0.9919434,-0.1640625,0.1181641,1.136719,1.05423,-0.03738403,-2.459869,164.2859,89.97765,808.2906,808.2906,28.05412,0,0,127.1318,236,8.837154,-3.640195,-1.174513,0
10:51:49:750,-0.03173828,-0.07165527,1.003418,-0.1601563,0.1230469,1.148438,1.577606,0.88974,1.271057,164.2859,89.97765,771.1365,808.2906,40.43883,0,0,127.1318,218,8.837154,-3.94676,-1.685619,0
10:51:49:782,-0.0793457,-0.05297852,0.9833984,-0.1640625,0.109375,1.149414,2.265472,2.616882,-7.932892,164.2859,89.97765,721.5977,808.2906,28.05412,0,0,127.1318,236,8.837154,-2.898321,-4.447854,0
10:51:49:814,-0.05187988,-0.03479004,0.9976807,-0.1689453,0.09472656,1.140625,2.50473,3.04306,-12.24701,164.2859,89.97765,709.213,808.2906,28.05412,0,0,127.1318,238,8.837154,-1.902694,-2.883046,0
10:51:49:846,0.03149414,-0.04748535,1.002441,-0.1757813,0.1279297,1.131836,3.102875,4.201965,-9.592743,164.2859,89.97765,684.4435,795.9059,28.05412,0,0,127.1318,242,8.837154,-2.623363,1.714165,0
10:51:49:878,0.1669922,0.07617188,1.004272,-0.08691406,0.3037109,1.125977,1.031799,1.951447,28.89786,164.2859,89.97765,634.9047,820.6754,40.43883,0,0,127.1318,244,8.837154,3.707383,8.751831,0
10:51:49:910,-0.2171631,0.2946777,0.9675293,-0.1640625,0.3554688,1.136719,-4.61319,3.409424,75.63538,164.2859,89.97765,696.8282,857.8295,15.66941,0,0,127.1318,246,8.837154,14.33318,-10.00639,0
10:51:49:942,-0.3612061,0.0723877,1.004395,-0.1152344,0.6523438,1.088867,-6.220703,2.444916,21.24908,151.9012,89.97765,758.7518,894.9836,15.66941,0,0,127.1318,250,8.338598,3.024535,-18.47345,0
10:51:49:975,-0.01672363,-0.02990723,1.080566,-0.1376953,1.318359,1.388672,3.102875,-17.15179,-36.47934,151.9012,89.97765,932.1377,944.5224,15.66941,0,0,127.1318,240,6.816659,-1.44653,-0.8000889,0
10:51:50:6,0.2214355,0.01123047,1.08374,0.03222656,1.006836,1.174805,8.792725,-31.49979,-59.7023,139.5165,89.97765,956.9071,919.753,15.66941,0,0,127.1318,234,4.189385,0.4609438,10.57822,0
10:51:50:38,0.3713379,0.06262207,1.018066,-0.1347656,0.796875,1.104492,10.71426,-38.12424,-31.58203,151.9012,89.97765,969.2918,894.9836,15.66941,0,0,127.1318,242,0,2.54697,18.66816,0
10:51:50:70,0.5095215,0.1069336,0.9493408,-0.2724609,0.3681641,1.079102,10.60959,-40.15793,23.99307,151.9012,89.97765,944.5224,870.2142,15.66941,0,0,127.1318,244,0,4.33462,26.81142,0
10:51:50:102,0.3978271,0.07250977,0.800293,-0.28125,0.3193359,0.9248047,10.48996,-32.25494,40.457,151.9012,89.97765,882.5989,845.4448,15.66941,0,0,127.1318,248,0,3.994785,29.1606,0
10:51:50:134,0.3081055,0.0625,0.7271729,-0.2744141,0.3154297,0.8916016,12.36664,-25.29404,13.04703,164.2859,89.97765,870.2142,833.0601,15.66941,0,0,127.1318,248,0,4.271014,27.5232,0
10:51:50:166,0.1693115,0.08532715,0.7509766,-0.2001953,0.171875,0.8935547,15.6041,-14.91623,-30.45303,151.9012,89.97765,870.2142,795.9059,28.05412,0,0,127.1318,252,0,6.637321,14.61515,0
10:51:50:199,0.2419434,0.01904297,0.8371582,-0.1523438,-0.0625,0.9560547,15.88821,-3.110352,-53.75824,151.9012,89.97765,870.2142,795.9059,28.05412,0,0,127.1318,252,0,1.157149,18.57698,0
10:51:50:230,0.1732178,0.1467285,0.75354,-0.1708984,-0.07519531,0.9130859,9.532928,4.82254,-10.28061,151.9012,89.97765,845.4448,795.9059,28.05412,0,0,127.1318,252,0,11.19989,13.62648,0
10:51:50:262,0.1313477,0.1849365,0.8210449,-0.1289063,-0.02246094,0.90625,7.521667,7.028198,-5.114136,164.2859,89.97765,820.6754,783.5212,28.05412,0,0,127.1318,252,0,12.93115,8.693113,0
10:51:50:294,0.1320801,0.1308594,0.9606934,-0.1445313,-0.001953125,1.135742,1.824341,16.72562,-11.45447,164.2859,89.97765,795.9059,783.5212,28.05412,0,0,127.1318,252,0,7.070623,7.144084,0
10:51:50:326,0.1328125,-0.0526123,1.082886,-0.2539063,-0.02050781,1.240234,1.637421,25.15198,-22.45285,164.2859,89.97765,808.2906,783.5212,28.05412,0,0,127.1318,252,0,-2.307881,6.186474,0
10:51:50:358,0.1087646,-0.1014404,1.049927,-0.2568359,-0.04296875,1.210938,1.988831,31.15585,-30.09415,164.2859,89.97765,795.9059,783.5212,28.05412,0,0,127.1318,254,0,-4.787815,5.162776,0
10:51:50:390,0.3706055,0.01196289,1.634888,-0.4130859,1.076172,0.8115234,-17.67517,60.56213,51.63483,164.2859,89.97765,696.8282,771.1365,28.05412,0,0,127.1318,240,0,0.2252104,7.85929,0
10:51:50:422,-0.1274414,-0.1218262,0.9400635,-0.2431641,1,1.105469,-6.474915,48.08334,-53.72086,164.2859,89.97765,783.5212,771.1365,28.05412,0,0,127.1318,222,0,-6.869968,-7.223076,0
10:51:50:454,-0.5062256,0.1795654,0.6486816,-0.28125,0.8867188,0.9755859,-14.84146,54.40125,26.57257,164.2859,89.97765,833.0601,771.1365,28.05412,0,0,127.1318,214,0,10.96261,-40.13802,0
10:51:50:486,-0.1328125,-0.2192383,1.059326,-0.06152344,-0.4501953,1.249023,-7.835693,49.37683,-11.88812,164.2859,89.97765,857.8295,771.1365,28.05412,0,0,127.1318,202,0,-9.909234,-5.654404,0
10:51:50:518,-0.4206543,-0.2701416,0.887207,-0.2646484,0.008789063,1.131836,-5.031891,50.67032,-12.8302,164.2859,89.97765,907.3683,783.5212,28.05412,0,0,127.1318,192,0,-12.60761,-21.6959,0
10:51:50:550,-0.2224121,-0.3349609,0.9672852,-0.01171875,-0.1884766,1.083984,0.4187012,49.646,-67.09686,164.2859,89.97765,956.9071,795.9059,28.05412,0,0,127.1318,184,1.442993,-16.13225,-9.928733,0
10:51:50:582,-0.2841797,0.009887695,0.9627686,-0.15625,-0.04785156,1.139648,-0.8448792,41.06262,4.628143,164.2859,89.97765,1018.831,808.2906,28.05412,0,0,127.1318,78,4.189385,0.4677642,-16.87507,0
10:51:50:614,-0.4537354,-0.07470703,0.9753418,-0.2802734,0.0859375,1.167969,1.338348,36.90552,27.94083,164.2859,89.97765,1043.6,820.6754,28.05412,0,0,127.1318,36,5.254216,-3.043622,-23.85682,0
10:51:51:136,-0.3518066,0.3742676,0.8869629,-0.3427734,-0.04589844,1.138672,-34.1391,32.33719,110.6866,139.5165,89.97765,1427.526,956.9071,15.66941,0,0,127.1318,510,5.779617,18.19748,-16.85828,0
10:51:51:168,-0.4002686,0.08496094,0.9328613,-0.2353516,-0.08203125,1.143555,-34.83444,36.65131,85.21317,139.5165,89.97765,1427.526,994.0612,15.66941,0,0,127.1318,510,8.837154,3.825794,-22.7359,0
10:51:51:199,-0.3321533,-0.3649902,0.9429932,-0.2724609,-0.0390625,1.199219,-29.60815,43.2608,37.16721,151.9012,89.97765,1316.064,994.0612,15.66941,0,0,127.1318,510,8.837154,-16.63783,-14.83298,0
10:51:51:725,-0.2961426,-0.08972168,1.686523,-0.6103516,-1.003906,1.65625,1.278534,21.85471,-14.90875,151.9012,89.97765,1415.141,696.8282,15.66941,0,0,127.1318,218,10.78902,-1.636449,-5.763453,0
10:51:51:756,-0.2961426,-0.08972168,1.686523,-0.8134766,-0.1914063,1.999023,-6.684265,16.93497,-15.64148,151.9012,89.97765,1365.602,709.213,28.05412,0,0,127.1318,210,10.78902,-1.636449,-5.763453,0
10:51:51:789,-1.406372,0.6192627,-0.01257324,-0.2578125,1.999023,0.1679688,-21.00235,58.92471,22.66968,151.9012,89.97765,1167.447,758.7518,28.05412,0,0,127.1318,210,10.78902,23.76278,-66.22945,0
10:51:51:820,-0.3809814,0.05041504,1.650391,0.08886719,0.3964844,1.605469,3.917847,39.20837,54.22928,151.9012,89.97765,1328.448,845.4448,28.05412,0,0,127.1318,240,10.78902,0.930283,-7.819516,0
