TS,HAx,HAy,HAz,BAx,BAy,BAz,Gx,Gy,Gz,f0,f1,f2,f3,f4,f5,f6,f7,V_US,V_LC,roll,pitch,sstat
14:39:29:160,-0.03894043,-0.03027344,0.9957275,-0.1601563,0.046875,1.147461,3.544006,12.95731,-1.42807,176.6706,238.5941,411.98,1018.831,114.7471,0,0,151.9012,122,0,-1.682859,-2.182579,0
14:39:29:191,-0.0559082,-0.03259277,0.99646,-0.1601563,0.04589844,1.148438,5.158997,15.0882,-3.080444,176.6706,263.3636,424.3647,1018.831,114.7471,0,0,151.9012,134,0,-1.779896,-3.120485,0
14:39:29:223,-0.1118164,-0.03015137,1.002808,-0.171875,0.02734375,1.148438,5.996399,16.74057,-9.944153,189.0553,275.7483,424.3647,1018.831,127.1318,0,0,139.5165,162,0,-1.545611,-6.161469,0
14:39:29:255,-0.06445313,-0.046875,0.9910889,-0.1894531,0.03808594,1.131836,7.431946,18.73688,-21.33881,189.0553,238.5941,424.3647,1018.831,127.1318,0,0,139.5165,180,0,-2.564173,-3.583675,0
14:39:29:287,-0.06335449,-0.05041504,0.9892578,-0.1884766,0.02734375,1.146484,8.074951,20.1799,-23.29025,189.0553,213.8247,424.3647,1006.446,127.1318,0,0,139.5165,170,0,-2.770017,-3.523039,0
14:39:29:319,0.01452637,-0.08349609,1.006348,-0.1708984,0.02148438,1.15625,9.78714,22.40799,-20.73318,189.0553,201.44,411.98,994.0612,151.9012,0,0,139.5165,158,0,-4.6468,0.7591925,0
14:39:29:351,-0.2259521,0.07312012,1.069946,-0.1396484,0.2734375,1.208984,12.77039,25.95947,-63.20145,189.0553,213.8247,374.8259,969.2918,176.6706,0,0,139.5165,152,0,3.053472,-10.51031,0
14:39:29:383,-0.1644287,0.07165527,1.165894,-0.01757813,0.1796875,1.404297,12.02271,18.93875,-130.4254,176.6706,275.7483,374.8259,981.6765,226.2094,0,0,151.9012,206,0,2.692409,-6.554978,0
14:39:29:415,-0.1312256,0.04772949,1.173096,0.03417969,0.1523438,1.292969,7.551575,14.21341,-81.03363,176.6706,325.2871,387.2106,994.0612,238.5941,0,0,151.9012,206,0,1.813601,-5.265526,0
14:39:29:447,-0.1824951,0.1362305,1.116089,-0.02539063,0.3681641,1.288086,0.03738403,3.117828,23.4996,176.6706,436.7494,387.2106,1006.446,250.9788,0,0,151.9012,238,0,5.448929,-7.523088,0
14:39:29:479,-0.190918,0.1622314,1.087769,-0.015625,0.4560547,1.268555,-4.538422,-7.207642,17.49573,176.6706,486.2883,387.2106,1006.446,250.9788,0,0,151.9012,242,0,6.733103,-8.076164,0
14:39:29:511,-0.1356201,0.1448975,1.062988,-0.008789063,0.4277344,1.225586,-5.644989,-13.13675,-9.764709,176.6706,498.673,387.2106,1006.446,250.9788,0,0,151.9012,242,0,6.53149,-6.072398,0
14:39:29:543,-0.1477051,0.0300293,0.838623,0.01855469,0.4521484,1.054688,-6.975861,-22.4678,-26.93893,176.6706,535.8271,387.2106,1006.446,250.9788,0,0,151.9012,246,0,2.020977,-11.38816,0
14:39:29:575,-0.2169189,0.007080078,0.7276611,0.04785156,0.4091797,0.9541016,-8.643188,-36.74103,-5.667419,176.6706,498.673,387.2106,1006.446,250.9788,0,0,151.9012,250,0,0.5434635,-22.01196,0
14:39:29:607,-0.1599121,-0.009399414,0.776123,-0.0078125,0.3505859,0.9873047,-10.98343,-47.94128,26.55014,176.6706,424.3647,387.2106,1006.446,275.7483,0,0,151.9012,250,0,-0.7064597,-14.64901,0
14:39:29:640,-0.1599121,-0.009399414,0.776123,-0.02539063,0.3046875,1.054688,-11.6713,-52.74887,23.64914,189.0553,362.4412,399.5953,1006.446,275.7483,0,0,151.9012,252,0,-0.7064597,-14.64901,0
14:39:29:688,0.0003662109,-0.1195068,0.9520264,-0.1376953,-0.04785156,1.196289,-7.170258,-54.92462,0.05981445,189.0553,151.9012,362.4412,1018.831,337.6718,0,0,151.9012,252,0,-7.508375,0.02045339,0
14:39:29:719,0.0456543,-0.1036377,0.9099121,-0.1376953,-0.15625,1.148438,-9.360962,-52.77878,16.37421,189.0553,127.1318,362.4412,1018.831,374.8259,0,0,151.9012,252,0,-6.765587,2.805678,0
14:39:29:751,0.04797363,-0.06860352,0.8786621,-0.1708984,-0.1640625,1.086914,-12.11243,-45.82535,36.37466,189.0553,114.7471,362.4412,1018.831,387.2106,0,0,151.9012,252,0,-4.782269,3.266171,0
14:39:29:783,0.0690918,-0.09265137,0.9249268,-0.1914063,-0.1962891,1.09375,-12.86011,-39.35791,30.96146,189.0553,114.7471,362.4412,1018.831,399.5953,0,0,151.9012,252,0,-5.722449,4.167823,0
14:39:29:815,0.05102539,-0.0904541,0.9816895,-0.2314453,-0.2021484,1.164063,-10.78156,-30.37827,18.2135,189.0553,114.7471,362.4412,1018.831,436.7494,0,0,139.5165,252,0,-5.093894,2.771151,0
14:39:29:847,0.07617188,-0.1003418,1.003906,-0.2470703,-0.2490234,1.12793,-7.783356,-15.07324,-26.31088,189.0553,114.7471,374.8259,1031.215,461.5189,0,0,139.5165,252,0,-5.288586,3.932136,0
14:39:29:879,0.0300293,-0.118042,0.9404297,-0.2353516,-0.2958984,1.069336,-6.370239,-4.919739,-13.26385,189.0553,114.7471,362.4412,1031.215,473.9036,0,0,139.5165,252,0,-7.355466,1.715834,0
14:39:29:911,0.04345703,-0.06738281,1.002686,-0.2353516,-0.3164063,1.136719,-6.803894,1.547699,9.331055,189.0553,114.7471,374.8259,1031.215,473.9036,0,0,151.9012,252,0,-3.675936,2.319756,0
14:39:29:943,0.05175781,-0.005249023,1.073486,-0.2460938,-0.2333984,1.202148,-8.104858,11.81335,32.60635,189.0553,114.7471,374.8259,1031.215,449.1342,0,0,151.9012,252,0,-0.2497611,2.560016,0
14:39:29:975,0.005737305,-0.04907227,1.030762,-0.2353516,-0.1191406,1.183594,-7.671204,24.73328,15.61905,189.0553,114.7471,374.8259,1031.215,411.98,0,0,151.9012,252,0,-2.630256,0.2957337,0
14:39:30:7,-0.04699707,-0.1177979,0.9857178,-0.2265625,-0.02441406,1.165039,-5.52536,30.55771,13.50311,189.0553,114.7471,374.8259,1018.831,362.4412,0,0,151.9012,252,0,-6.596535,-2.470142,0
14:39:30:39,-0.05786133,-0.1464844,1.01355,-0.2431641,0.01464844,1.152344,-2.676697,33.60077,2.078552,189.0553,114.7471,374.8259,1006.446,312.9024,0,0,151.9012,252,0,-7.687922,-2.822133,0
14:39:30:71,-0.6938477,-0.03942871,1.706299,-0.3916016,1.999023,1.258789,0.8299255,17.82471,-33.75778,189.0553,114.7471,374.8259,1018.831,275.7483,0,0,139.5165,252,0,-0.6265793,-13.23172,0
14:39:30:103,-0.1223145,-0.1556396,0.8909912,0.5996094,0.5185547,0.8476563,9.832001,21.02478,20.65094,189.0553,114.7471,374.8259,1006.446,238.5941,0,0,139.5165,252,0,-9.641304,-7.340371,0
14:39:30:135,0.07727051,-0.01464844,0.8930664,-0.1181641,0.2373047,1.076172,9.383392,19.37241,31.72409,189.0553,114.7471,374.8259,1006.446,226.2094,0,0,139.5165,252,0,-0.9592806,5.434502,0
14:39:30:199,0.06713867,0,0.9631348,-0.05664063,0.1748047,1.146484,8.291779,21.18179,-10.26566,189.0553,114.7471,374.8259,1018.831,201.44,0,0,139.5165,252,0,0,4.13966,0
14:39:30:263,-0.04516602,0.02966309,0.9871826,-0.07128906,0.09375,1.136719,2.923431,24.23981,4.717865,189.0553,114.7471,374.8259,1018.831,176.6706,0,0,139.5165,252,0,1.666272,-2.575282,0
14:39:30:295,-0.06689453,0.0006103516,0.9814453,-0.078125,0.1005859,1.141602,1.772003,24.62112,0.2243042,189.0553,127.1318,362.4412,1018.831,176.6706,0,0,139.5165,252,0,0.03394774,-3.970179,0
14:39:30:327,-0.07519531,-0.02636719,0.9750977,-0.09082031,0.06933594,1.155273,0.463562,23.35754,1.472931,189.0553,139.5165,374.8259,1043.6,189.0553,0,0,139.5165,252,0,-1.472106,-4.400303,0
14:39:30:359,-0.08300781,-0.04516602,0.9951172,-0.1064453,0.0703125,1.163086,0,22.89398,0.2542114,189.0553,151.9012,387.2106,1043.6,189.0553,0,0,139.5165,252,0,-2.409744,-4.583481,0
14:39:30:390,-0.08190918,-0.004272461,0.9857178,-0.1181641,0.03808594,1.148438,-0.6130981,23.19305,1.727142,189.0553,176.6706,387.2106,1055.985,201.44,0,0,139.5165,252,0,-0.2323506,-4.797642,0
