TS,HAx,HAy,HAz,BAx,BAy,BAz,Gx,Gy,Gz,f0,f1,f2,f3,f4,f5,f6,f7,V_US,V_LC,roll,pitch,sstat
12:4:13:275,-0.1286621,-0.0489502,1.002075,-0.1113281,0.05078125,1.152344,-1.644897,13.80219,-15.0209,189.0553,176.6706,424.3647,1068.37,151.9012,0,0,164.2859,252,0,-2.474271,-6.965539,0
12:4:13:307,-0.1553955,-0.04699707,0.9753418,-0.1142578,0.03808594,1.148438,-1.61499,13.09937,-15.19287,189.0553,176.6706,424.3647,1068.37,139.5165,0,0,164.2859,254,0,-2.431687,-8.847763,0
12:4:13:339,-0.1694336,-0.05810547,0.9545898,-0.1162109,0.0390625,1.151367,-1.315918,12.5087,-17.7948,189.0553,189.0553,424.3647,1068.37,139.5165,0,0,164.2859,254,0,-3.077701,-9.91465,0
12:4:13:430,-0.2259521,-0.01647949,0.989502,-0.09472656,-0.03027344,1.155273,-0.8000183,6.138458,-24.05289,176.6706,213.8247,424.3647,1093.139,139.5165,0,0,164.2859,254,0,-0.783481,-12.7868,0
12:4:13:462,-0.1776123,-0.005004883,0.9866943,-0.1103516,0.01464844,1.149414,-1.084137,4.478607,-3.9328,176.6706,201.44,424.3647,1093.139,139.5165,0,0,164.2859,254,0,-0.2490986,-10.2873,0
12:4:13:494,-0.09777832,-0.0390625,0.9765625,-0.1220703,0.04589844,1.155273,-1.271057,3.282318,-4.09729,189.0553,176.6706,424.3647,1093.139,139.5165,0,0,164.2859,254,0,-2.127616,-5.62513,0
12:4:13:525,-0.06726074,-0.04699707,0.9863281,-0.1240234,0.04980469,1.155273,-0.7177734,3.170166,-4.381409,189.0553,164.2859,424.3647,1105.524,151.9012,0,0,164.2859,232,0,-2.587149,-3.77332,0
12:4:13:557,-0.0501709,-0.04772949,1.001465,-0.1103516,0.03808594,1.154297,-0.6878662,4.381409,-6.108551,189.0553,164.2859,436.7494,1105.524,139.5165,0,0,164.2859,230,0,-2.595025,-2.733896,0
12:4:13:589,-0.03015137,-0.0300293,0.9786377,-0.1132813,0.04492188,1.15918,-0.6130981,5.824432,-4.957123,189.0553,164.2859,436.7494,1105.524,139.5165,0,0,164.2859,210,0,-1.741119,-1.748409,0
12:4:13:621,-0.05090332,-0.04675293,0.9897461,-0.1171875,0.04003906,1.155273,-0.4785156,6.983337,-2.594452,189.0553,164.2859,436.7494,1105.524,139.5165,0,0,164.2859,198,0,-2.597679,-2.83934,0
12:4:13:695,-0.04309082,-0.07666016,0.9855957,-0.1035156,0.02734375,1.15625,0.1121521,8.688049,-1.218719,189.0553,164.2859,436.7494,1117.908,139.5165,0,0,164.2859,180,0,-4.321357,-2.354383,0
12:4:13:726,-0.08068848,-0.08374023,0.9996338,-0.1083984,0.0234375,1.152344,1.039276,9.869385,-2.257996,189.0553,176.6706,436.7494,1117.908,139.5165,0,0,164.2859,180,0.3096001,-4.433866,-4.260895,0
12:4:13:758,-0.09436035,-0.07275391,0.9943848,-0.1181641,0.01953125,1.148438,2.138367,10.7666,-2.287903,176.6706,189.0553,436.7494,1105.524,139.5165,0,0,164.2859,226,0.3096001,-3.842677,-5.079603,0
12:4:13:792,-0.1212158,-0.0670166,0.9926758,-0.1298828,0.0234375,1.146484,2.302856,10.81894,-2.347717,176.6706,201.44,436.7494,1105.524,139.5165,0,0,164.2859,242,0.3096001,-3.465581,-6.570261,0
12:4:13:823,-0.1269531,-0.06286621,0.987915,-0.1269531,0.01171875,1.149414,3.132782,10.72174,-2.280426,176.6706,213.8247,436.7494,1105.524,139.5165,0,0,164.2859,242,0.3096001,-3.26229,-6.96736,0
12:4:13:855,-0.137085,-0.05761719,0.9858398,-0.1318359,0.006835938,1.155273,4.112244,10.34042,-1.540222,176.6706,226.2094,436.7494,1105.524,139.5165,0,0,164.2859,246,0.3096001,-2.974174,-7.584726,0
12:4:14:43,-0.1765137,-0.009277344,0.9936523,-0.1708984,0,1.143555,5.884247,11.06567,-4.067383,176.6706,275.7483,436.7494,1093.139,139.5165,0,0,164.2859,252,0.3096001,-0.4567061,-10.04361,0
12:4:14:75,-0.1903076,0,0.9951172,-0.171875,-0.006835938,1.139648,5.607605,10.74417,-6.736603,176.6706,300.5177,436.7494,1093.139,139.5165,0,0,164.2859,252,0.3096001,0,-10.87846,0
12:4:14:106,-0.2196045,0.01049805,0.9696045,-0.1806641,-0.00390625,1.146484,4.994507,9.615173,-8.067474,176.6706,337.6718,436.7494,1093.139,139.5165,0,0,164.2859,252,0.3096001,0.5186324,-13.00767,0
12:4:14:139,-0.2316895,0.03759766,0.9553223,-0.1865234,-0.015625,1.139648,5.375824,9.024506,-10.01892,176.6706,350.0565,436.7494,1093.139,139.5165,0,0,164.2859,252,0.3096001,1.881811,-13.70264,0
12:4:14:171,-0.2381592,0.03918457,0.9763184,-0.1875,-0.02050781,1.135742,4.919739,8.17215,-9.532928,176.6706,350.0565,449.1342,1080.754,139.5165,0,0,164.2859,252,0.3096001,1.88382,-13.49505,0
12:4:14:202,-0.2147217,0.05102539,0.9763184,-0.1914063,-0.008789063,1.141602,4.224396,7.574005,-7.476807,176.6706,350.0565,449.1342,1080.754,139.5165,0,0,164.2859,252,0.3096001,2.501613,-12.06917,0
