TS,HAx,HAy,HAz,BAx,BAy,BAz,Gx,Gy,Gz,f0,f1,f2,f3,f4,f5,f6,f7,V_US,V_LC,roll,pitch,sstat
11:53:12:956,-0.112793,-0.2064209,0.9840088,0.01855469,-0.078125,1.124023,-4.276733,7.334747,-0.2243042,139.5165,15.66941,250.9788,1080.754,201.44,0,0,127.1318,60,0,-10.81005,-5.48467,0
11:53:12:988,-0.119751,-0.2359619,0.9761963,0.0234375,-0.08203125,1.125977,-4.067383,7.506714,-0.194397,139.5165,15.66941,250.9788,1080.754,201.44,0,0,127.1318,60,0,-12.40567,-5.75157,0
11:53:13:19,-0.1152344,-0.2469482,0.9747314,0.0234375,-0.078125,1.130859,-3.379517,7.775879,0.3962708,139.5165,15.66941,250.9788,1080.754,201.44,0,0,127.1318,60,0,-13.05085,-5.498653,0
11:53:13:51,-0.1136475,-0.2564697,0.9771729,0.02929688,-0.08203125,1.123047,-3.177643,7.760925,-0.6130981,139.5165,15.66941,250.9788,1080.754,201.44,0,0,127.1318,60,0,-13.49707,-5.359795,0
11:53:14:59,-0.1744385,0.02160645,1.004517,-0.015625,-0.015625,1.183594,6.691742,-29.77264,-6.25061,151.9012,15.66941,189.0553,845.4448,263.3636,0,0,127.1318,56,0,1.045905,-9.606236,0
11:53:14:91,-0.1541748,0.008911133,0.9820557,-0.0234375,-0.02832031,1.146484,2.826233,-31.80634,2.908478,151.9012,15.66941,189.0553,845.4448,263.3636,0,0,127.1318,56,0,0.4564239,-9.0007,0
11:53:14:123,-0.1484375,-0.06079102,0.9162598,-0.03125,-0.015625,1.091797,-1.480408,-33.48862,13.98911,151.9012,15.66941,176.6706,845.4448,263.3636,0,0,127.1318,56,0,-3.521043,-9.362211,0
11:53:14:155,-0.1447754,-0.08056641,0.8948975,-0.0390625,-0.01953125,1.079102,-2.901001,-34.20639,16.60599,151.9012,15.66941,176.6706,845.4448,275.7483,0,0,127.1318,52,0,-4.869831,-9.327809,0
11:53:14:187,-0.1292725,-0.08435059,0.8999023,-0.05566406,-0.02734375,1.102539,-3.872986,-34.74472,14.04144,151.9012,15.66941,189.0553,845.4448,275.7483,0,0,127.1318,52,0,-5.13259,-8.226357,0
11:53:14:219,-0.1008301,-0.08520508,0.94104,-0.06640625,-0.0390625,1.121094,-4.882355,-33.89236,7.813263,151.9012,15.66941,189.0553,845.4448,275.7483,0,0,127.1318,50,0,-4.937014,-5.929877,0
11:53:14:251,-0.08325195,-0.0736084,0.94104,-0.0703125,-0.04101563,1.121094,-5.069275,-33.72787,5.046844,151.9012,15.66941,189.0553,845.4448,275.7483,0,0,127.1318,50,0,-4.344888,-4.960629,0
