TS,HAx,HAy,HAz,BAx,BAy,BAz,Gx,Gy,Gz,f0,f1,f2,f3,f4,f5,f6,f7,V_US,V_LC,roll,pitch,sstat
14:11:16:6,-0.05749512,0.1123047,0.9814453,-0.2128906,0.1386719,1.138672,2.108459,3.768311,-10.56473,151.9012,139.5165,374.8259,932.1377,77.59294,0,0,151.9012,254,0,6.278651,-3.059948,0
14:11:16:38,-0.0447998,0.1202393,0.9724121,-0.2226563,0.1367188,1.124023,0.03738403,5.166473,10.3479,151.9012,151.9012,374.8259,932.1377,77.59294,0,0,151.9012,254,0,6.922206,-2.406897,0
14:11:16:70,-0.02709961,0.1224365,0.9906006,-0.2470703,0.05566406,1.123047,-1.26358,5.480499,29.61563,151.9012,164.2859,374.8259,944.5224,77.59294,0,3.284706,151.9012,254,0,6.922848,-1.406492,0
14:11:16:103,-0.04125977,0.1334229,0.9820557,-0.203125,0.1679688,1.138672,-1.734619,6.048737,31.35773,151.9012,176.6706,374.8259,944.5224,77.59294,0,3.284706,151.9012,254,0,7.55716,-2.152284,0
14:11:16:135,-0.03491211,0.1109619,0.9975586,-0.1953125,0.1630859,1.138672,-1.540222,6.631927,17.09946,151.9012,189.0553,374.8259,956.9071,89.97765,0,15.66941,139.5165,252,0,6.148552,-1.807865,0
14:11:16:166,-0.03564453,0.07714844,1.014648,-0.1894531,0.1699219,1.143555,-2.818756,8.127289,-5.846863,151.9012,201.44,374.8259,956.9071,89.97765,0,15.66941,139.5165,252,0,4.142656,-1.844808,0
14:11:16:198,-0.0300293,0.08557129,1.041016,-0.2431641,0.04980469,1.214844,-3.215027,8.164673,1.345825,151.9012,213.8247,374.8259,956.9071,89.97765,0,28.05412,139.5165,252,0,4.393528,-1.471133,0
14:11:16:230,0.04321289,0.1230469,1.112549,-0.1630859,0.2255859,1.3125,-6.213226,9.652557,22.60239,151.9012,226.2094,374.8259,956.9071,127.1318,0,28.05412,139.5165,254,0,5.486826,1.818829,0
14:11:16:262,0.02612305,0.1418457,1.106201,-0.1484375,0.2255859,1.288086,-8.374023,9.346008,40.44205,139.5165,250.9788,374.8259,956.9071,127.1318,0,28.05412,127.1318,254,0,6.47504,1.095956,0
14:11:16:294,-0.04541016,0.07653809,0.9874268,-0.09570313,0.3398438,1.154297,-12.00775,7.917938,29.3689,139.5165,312.9024,374.8259,969.2918,139.5165,0,28.05412,127.1318,240,0,4.289514,-2.472727,0
14:11:16:326,-0.06445313,0.04345703,0.9562988,-0.1005859,0.3886719,1.121094,-11.58905,6.990814,18.43781,151.9012,350.0565,362.4412,969.2918,151.9012,0,28.05412,127.1318,234,0,2.541748,-3.849135,0
14:11:16:359,-0.06616211,0.06164551,0.9272461,-0.08984375,0.4277344,1.107422,-10.51239,-0.3289795,-7.387085,139.5165,399.5953,362.4412,956.9071,164.2859,0,28.05412,127.1318,214,0,3.80888,-4.106998,0
14:11:16:390,0,0.1171875,0.9766846,-0.08691406,0.3398438,1.143555,-11.67877,-5.727234,5.121613,139.5165,424.3647,350.0565,956.9071,176.6706,0,28.05412,127.1318,204,0,7.003654,0,0
14:11:16:422,0.03930664,0.1333008,0.97229,-0.1015625,0.3505859,1.139648,-13.10684,-9.039459,24.39682,139.5165,461.5189,350.0565,944.5224,176.6706,0,28.05412,127.1318,196,0,7.709729,2.086971,0
