TS,HAx,HAy,HAz,BAx,BAy,BAz,Gx,Gy,Gz,f0,f1,f2,f3,f4,f5,f6,f7,V_US,V_LC,roll,pitch,sstat
13:19:57:753,-0.02954102,-0.08374023,1.006836,-0.04785156,0.07714844,1.108398,-0.7102966,5.480499,0.2392578,139.5165,28.05412,226.2094,721.5977,15.66941,0,0,102.3624,254,0,-4.589171,-1.541896,0
13:19:57:785,-0.03869629,-0.08117676,1.008911,-0.04785156,0.07324219,1.108398,-0.3065491,5.218811,-0.1794434,139.5165,28.05412,226.2094,721.5977,15.66941,0,0,102.3624,254,0,-4.393314,-2.016433,0
13:19:57:817,-0.0501709,-0.07678223,1.007324,-0.04785156,0.07128906,1.108398,-0.8822632,5.061798,-0.5757141,139.5165,28.05412,226.2094,721.5977,15.66941,0,0,102.3624,254,0,-4.124151,-2.631791,0
13:19:58:617,0.1436768,-0.05004883,0.8453369,0.1396484,0.1943359,0.9755859,-2.220612,-27.22305,-8.605804,139.5165,28.05412,213.8247,907.3683,15.66941,0,0,102.3624,188,0,-3.33734,10.64181,0
13:19:58:649,0.1782227,-0.01831055,0.8718262,0.1240234,0.21875,1.019531,-5.443115,-28.83804,19.94812,139.5165,28.05412,213.8247,907.3683,15.66941,0,0,102.3624,178,0,-1.117958,12.89631,0
13:19:58:681,0.1844482,-0.06469727,0.9353027,0.078125,0.3193359,1.081055,-9.323578,-28.44925,15.41718,139.5165,28.05412,213.8247,907.3683,15.66941,0,0,102.3624,164,0,-3.495226,11.10751,0
13:19:58:713,0.1923828,-0.1087646,0.9536133,0.0625,0.3193359,1.100586,-8.433838,-27.93335,-5.704803,139.5165,28.05412,213.8247,894.9836,15.66941,0,0,102.3624,162,0,-5.637909,10.70015,0
13:19:58:745,0.2191162,-0.1716309,1.003296,0.04296875,0.2333984,1.139648,-8.426361,-27.80624,-10.16846,139.5165,28.05412,213.8247,894.9836,15.66941,0,0,102.3624,156,0,-7.970996,10.53495,0
13:19:58:809,0.2912598,-0.112793,1.008911,0,0.2695313,1.100586,-8.478699,-21.41357,35.45502,139.5165,28.05412,213.8247,894.9836,15.66941,0,0,102.3624,174,0,-4.924253,14.445,0
13:19:58:841,0.1986084,-0.1628418,0.8851318,0.03417969,0.3007813,1.00293,-4.770203,-17.29385,-11.56662,139.5165,28.05412,213.8247,907.3683,15.66941,0,0,102.3624,210,0,-9.41486,11.85313,0
13:19:58:873,0.1638184,-0.1304932,0.8686523,0.04785156,0.2617188,0.9980469,-2.968292,-17.63031,-6.474915,139.5165,28.05412,213.8247,894.9836,15.66941,0,0,102.3624,226,0,-8.087097,10.48648,0
13:19:58:912,0.2414551,-0.04101563,0.9301758,0.01074219,0.2685547,1.03418,-2.930908,-17.48077,7.28241,139.5165,28.05412,213.8247,894.9836,15.66941,0,0,102.3624,242,0,-2.122513,14.91904,0
13:19:58:937,0.1942139,0.003173828,0.890625,-0.0078125,0.2929688,1.00293,-2.631836,-14.55734,-5.802002,139.5165,28.05412,213.8247,870.2142,15.66941,0,0,102.3624,246,0,0.1841618,13.70514,0
13:19:58:969,0.1922607,-0.01660156,0.8985596,-0.01660156,0.2773438,1.013672,-2.467346,-12.77786,-23.35007,139.5165,28.05412,213.8247,845.4448,15.66941,0,0,102.3624,246,0,-0.951426,13.13346,0
13:19:59:1,0.2312012,-0.05639648,0.9473877,-0.03027344,0.1240234,1.045898,-1.996307,-10.01144,-24.03793,139.5165,28.05412,213.8247,820.6754,15.66941,0,0,102.3624,250,0,-2.860342,13.62376,0
